"FLEX_VALUE";"DESCRIPTION";"FLEX_VALUE||'00'";"DESCRIPTION_1";
"900776";"CSN INDIRECT CHARGES";"90077600";"CSN INDIRECT CHARGES";
"900851";"ALLOCATION OVERHEADS (OA)";"90085100";"ALLOCATION OVERHEADS (OA)";
"930210";"SALAIRES /VENTIL PAIE 900990";"93021000";"SALAIRES /VENTIL PAIE 900990";
"930211";"SALAIRES /VENTIL PAIE PRODUCTIFS";"93021100";"SALAIRES /VENTIL PAIE PRODUCTIFS";
"930212";"SALAIRES /VENTIL PAIE SUPPORT PRODUITS";"93021200";"SALAIRES /VENTIL PAIE SUPPORT PRODUITS";
"930213";"SALAIRES /VENTIL PAIE COMMERCIAUX";"93021300";"SALAIRES /VENTIL PAIE COMMERCIAUX";
"930214";"SALAIRES /VENTIL PAIE ADMINISTRATIFS";"93021400";"SALAIRES /VENTIL PAIE ADMINISTRATIFS";
"930220";"REMUNERATIONS VARIABLES";"93022000";"REMUNERATIONS VARIABLES";
"930221";"VARIABLES PRODUCTIFS";"93022100";"VARIABLES PRODUCTIFS";
"930222";"VARIABLES SUPPORT PRODUITS";"93022200";"VARIABLES SUPPORT PRODUITS";
"930223";"PRIMES & BONUS / VENTIL PAIE COMMERCIAUX";"93022300";"PRIMES & BONUS / VENTIL PAIE COMMERCIAUX";
"930224";"VAIABLES PRODUCTIFS";"93022400";"VAIABLES PRODUCTIFS";
"930233";"VARIABLES COMMERCIAUX";"93023300";"VARIABLES COMMERCIAUX";
"930240";"CONGES PAYES REELS / VENT PAIE 900990";"93024000";"CONGES PAYES REELS / VENT PAIE 900990";
"930241";"CONGES PAYES REELS / VENT PAIE PRODUCTIFS";"93024100";"CONGES PAYES REELS / VENT PAIE PRODUCTIFS";
"930242";"CONGES PAYES REELS / VENT PAIE SUPPORT PRODUITS";"93024200";"CONGES PAYES REELS / VENT PAIE SUPPORT PRODUITS";
"930243";"CONGES PAYES REELS / VENT PAIE COMMERCIAUX";"93024300";"CONGES PAYES REELS / VENT PAIE COMMERCIAUX";
"930244";"CONGES PAYES REELS / VENT PAIE ADMINISTRATIFS";"93024400";"CONGES PAYES REELS / VENT PAIE ADMINISTRATIFS";
"930270";"PRIMES ASTREINTES , HORAIRES 900990";"93027000";"PRIMES ASTREINTES , HORAIRES 900990";
"930271";"HEURES SUPPLEMENTAIRES PRODUCTIFS";"93027100";"HEURES SUPPLEMENTAIRES PRODUCTIFS";
"930272";"PRIMES ASTREINTES , HORAIRES SUPPORT PRODUITS";"93027200";"PRIMES ASTREINTES , HORAIRES SUPPORT PRODUITS";
"930273";"HEURES SUPPLEMENTAIRES COMMERCIAUX";"93027300";"HEURES SUPPLEMENTAIRES COMMERCIAUX";
"930274";"PRIMES ASTREINTES , HORAIRES ADMINISTRATIFS";"93027400";"PRIMES ASTREINTES , HORAIRES ADMINISTRATIFS";
"930320";"FRAIS DEPART/VENTIL PAIE 900990";"93032000";"FRAIS DEPART/VENTIL PAIE 900990";
